image_name,left,top,right,bottom,text
image0,1083,160,1403,195,    No. : 070-4840-4563
image0,1083,195,1403,230,請求日 : 2018-10-02
image0,308,260,728,305,林印刷株式会社
image0,244,318,774,353,静岡県板橋区湯本塩原13丁目16番7号 竜泉パーク488
image0,376,362,696,397,映画監督 担当者:藤井 結衣
image0,443,490,763,535,800825100.0
image0,242,446,292,481,下記
image0,290,446,770,481,の通りご請求申し上げます。
image0,298,660,768,690,電池 カラム
image0,800,660,990,690,38隻
image0,298,705,768,735,主人 敵
image0,800,705,990,735,27セット
image0,298,750,768,780,教授 細かい
image0,800,750,990,780,48袋
image0,298,795,768,825,埋め込む 狭い
image0,800,795,990,825,36トン
image0,298,840,768,870,柔らかい 人形
image0,800,840,990,870,11セット
image0,298,885,768,915,動物 シェービング
image0,800,885,990,915,73万
image0,298,930,768,960,デッド 革新
image0,800,930,990,960,46包
image0,298,975,768,1005,カレッジ 隠す
image0,800,975,990,1005,85袋
image0,298,1020,768,1050,保持する 野球
image0,800,1020,990,1050,84台
image0,298,1065,768,1095,改善 花嫁
image0,800,1065,990,1095,48頭
image0,298,1110,768,1140,彼 不自然な
image0,800,1110,990,1140,23福
image0,298,1155,768,1185,部隊 リニア
image0,800,1155,990,1185,23袋
image0,298,1200,768,1230,分割 尊敬する
image0,800,1200,990,1230,69枚
image0,298,1245,768,1275,編組 知覚
image0,800,1245,990,1275,89着
image0,298,1290,768,1320,動物 ノート
image0,800,1290,990,1320,87袋
image0,298,1335,768,1365,供給 ジャム
image0,800,1335,990,1365,22部
image0,298,1380,768,1410,フェミニスト 分割
image0,800,1380,990,1410,69対
image0,298,1425,768,1455,溝 トーン
image0,800,1425,990,1455,53本
image0,298,1470,768,1500,ヒット 敵
image0,800,1470,990,1500,5包
image0,298,1515,768,1545,ハンマー 器官
image0,800,1515,990,1545,55箱
image1,1083,160,1403,195,    No. : 56-5483-8737
image1,1083,195,1403,230,請求日 : 2009-08-26
image1,308,260,728,305,有限会社阿部食品
image1,244,318,774,353,鳥取県荒川区独鈷沢34丁目20番9号 シャルム三筋622
image1,376,362,696,397,医師 担当者:近藤 太郎
image1,443,490,763,535,986018696.0
image1,242,446,292,481,下記
image1,290,446,770,481,の通りご請求申し上げます。
image1,298,660,768,690,鉱山 擁する
image1,800,660,990,690,25本
image1,298,705,768,735,倫理 柔らかい
image1,800,705,990,735,71枚
image1,298,750,768,780,感謝する ベルベット
image1,800,750,990,780,48箱
image1,298,795,768,825,ジャーナル 日曜日
image1,800,795,990,825,47包
image1,298,840,768,870,今 極端な
image1,800,840,990,870,17万
image1,298,885,768,915,動物 テント
image1,800,885,990,915,41款
image1,298,930,768,960,分割 尊敬する
image1,800,930,990,960,68粒
image1,298,975,768,1005,奨励します スマッシュ
image1,800,975,990,1005,74本
image1,298,1020,768,1050,デフォルト クール
image1,800,1020,990,1050,12枚
image1,298,1065,768,1095,マリン 分割
image1,800,1065,990,1095,64頭
image1,298,1110,768,1140,明らかにする ヒット
image1,800,1110,990,1140,35粒
image1,298,1155,768,1185,見出し リハビリ
image1,800,1155,990,1185,67冊
image1,298,1200,768,1230,通行料金 今日
image1,800,1200,990,1230,31台
image1,298,1245,768,1275,職人 学生
image1,800,1245,990,1275,28層
image1,298,1290,768,1320,アクセルペダル ヒット
image1,800,1290,990,1320,28台
image1,298,1335,768,1365,供給 ベルベット
image1,800,1335,990,1365,60枚
image1,298,1380,768,1410,リンク シェービング
image1,800,1380,990,1410,76袋
